URL,Rating,Company,Coffee Name,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity,Body,Flavor,Aftertaste,Blind Assessment,Notes,Bottom Line,With Milk
https://www.coffeereview.com/review/teapot-ruili-geisha/,91,Teapot Coffee & Tea,Teapot Ruili Geisha,"Meishan Township, Alishan, Taiwan","Ruili Village, Meishan Township, Alishan, Chiayi County, Taiwan",Medium-Light,61/79,"NT $1,200/8 ounces",May 2025,8,8,8,9,8,"Crisply sweet, delicately tart. Dried red plum, cocoa nib, sweet lime, spruce, lemon balm in aroma and cup. Briskly sweet acidity; crisp, satiny mouthfeel. Cocoa-toned finish supported by notes of sweet lime and lemon balm.",Produced by,,
https://www.coffeereview.com/review/ethiopia-buku-abel-bastet-station-geisha-washed-espresso/,94,Caoban Coffee,Ethiopia Buku Abel Bastet Station Geisha Washed Espresso,"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium,48/64,NT $600/226 grams,May 2025,9,,9,9,8,"Evaluated as espresso. Sweetly tart, very chocolaty. Chocolate fudge, pomegranate, tangelo, gardenia, maple syrup in aroma and small cup. Syrupy-smooth  mouthfeel; tart-leaning, crisply chocolaty finish. As a cappuccino, this coffee sings with the depth of chocolate, the high-toned sweet-tartness of pomegranate, and the unifying harmony of gardenia and tangelo.","Produced by smallholding farmers, entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying) at the Bastet Washing Station. Caoban Coffee is a specialty roaster and cafe based in Taipei. Visit",,9
https://www.coffeereview.com/review/nicaragua-jinotega-natural-microlot/,93,Rusty Dog Coffee,Nicaragua Jinotega Natural Microlot,"Madison, Wisconsin","Jinotega Department, Nicaragua",Medium-Light,57/75,$24.50/12 ounces,May 2025,,8,9,9,8,"Richly sweet, gently tart. Pomegranate, baking chocolate, marjoram, goji berry, brown sugar in aroma and cup. Briskly sweet, gentle acidity; full, syrupy-smooth mouthfeel. Crisp, sweetly tart finish with undertones of goji berry and marjoram.","Produced by Angelina Lopez of Finca Los Papales, entirely of the Red Catuai variety of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit",,
https://www.coffeereview.com/review/rwanda-huye-peaberry/,93,Rusty Dog Coffee,Rwanda Huye Peaberry,"Madison, Wisconsin","Huye District, Rwanda",Medium-Light,58/76,$24.50/12 ounces,May 2025,9,8,9,9,8,"Citrus-sweet. Tangerine, cocoa nib, rose hips, myrrh, honey in aroma and cup. Brisk, sweet acidity; very full, satiny mouthfeel. Finish consolidates to notes of rose hips and cocoa nib.","Produced by smallholding farmers surrounding Huye Mountain Washing Station, entirely of the Red Bourbon variety of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit",,
https://www.coffeereview.com/review/colombia-edwin-norena-geisha/,95,Utopian Coffee,Colombia Edwin Noreña Geisha,"Fort Wayne, Indiana","Quindio Department, Colombia",Light,62/84,$29.00/8 ounces,May 2025,9,9,9,9,9,"Richly floral, deeply fruit-forward. Cherry cordial, dark chocolate, pink peppercorn, aromatic orchid, marjoram in aroma and cup. Juicy, high-toned acidity; vibrant, silky-smooth mouthfeel. Expressive, juicy, long-lasting finish.","Produced by Edwin Noreña of Finca Campo Hermosa, entirely of the Geisha variety of Arabica, and processed by a proprietary method Noreña calls “carbonic galaxy hops,” in which the whole fruit is fermented with hops and mossto (coffee fruit juice) before being dried. Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit",,
https://www.coffeereview.com/review/indonesia-sulawesi-toraja-utara/,94,Utopian Coffee,Indonesia Sulawesi Toraja Utara,"Fort Wayne, Indiana","Toraja growing region, south-central Sulawesi, Indonesia",Medium-Light,56/77,$23.00/12 ounces,May 2025,9,9,9,9,8,"Sweetly savory, rich and deep-toned. Lemon verbena, ginger blossom, hinoki wood, date, vanilla bean in aroma and cup. Gently bright, malic acidity; plush, creamy-smooth mouthfeel. Spice-toned, sweet and integrated finish.","Produced by smallholding farmers, from trees of the S795 and Typica varieties of Arabica, and processed by the washed method (fruit, skin and pulp removed before drying).  Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit",,
https://www.coffeereview.com/review/guatemala-guayab-4/,93,Utopian Coffee,Guatemala Guaya’b,"Fort Wayne, Indiana","Huehuetenango Department, Guatemala",Medium-Light,60/78,$21.00/12 ounces,May 2025,9,8,9,9,8,"Even-keeled, sweetly citrusy. Cocoa nib, pink grapefruit, almond butter, cherry blossom, nougat in aroma and cup. Briskly sweet acidity; full, syrupy-sooth mouthfeel.Quietly confident finish with notes of cocoa nib and pink grapefruit.","Produced by smallholding members of the Asociación Civil Guaya'b from trees of the Bourbon, Catimor, Caturra, Maragogype and Pache varieties of Arabica.  Processed by the washed method (fruit, skin and pulp removed before drying). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit",,
https://www.coffeereview.com/review/rwanda-murundo-cyiya/,93,Utopian Coffee,Rwanda Murundo Cyiya,"Fort Wayne, Indiana","Cyiya Village, Nyamasheke District, Western Province, Rwanda",Medium-Light,57/78,$21.00/12 ounces,May 2025,9,8,9,9,8,"Delicate, balanced, richly sweet. Bing cherry, bergamot, bay leaf, cocoa nib, poppyseed in aroma and cup. Briskly sweet-tart acidity; full, syrupy mouthfeel. Finish consolidates to pretty notes of bergamot and cherry.","Produced by smallholding farmers, entirely of the Bourbon variety of Arabica, and processed at the Murundo Washing Station by the washed method (fruit, skin and pulp removed before drying). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit",,
https://www.coffeereview.com/review/mushroom-coffee-bloom-shroomery-blend/,92,Heady Cup Coffee Roasters,Mushroom Coffee Bloom Shroomery Blend,"McHenry, Illinois",Central America; South America,Very Dark,0/54,$39.99/12 ounces,May 2025,9,8,8,9,8,"Richly sweet-savory. Baking chocolate, Graham cracker, almond, citrus saltwater taffy, fresh-cut oak in aroma and cup. Gentle, round acidity; full, velvety mouthfeel. Crisply chocolaty finish with undertones of citrus saltwater taffy and oak.",Ground coffee with 250mg of lion’s mane and cordyceps mushrooms. Heady Cup is an Illinois-based specialty roaster with a focus on sustainability and sourcing traceable green coffees. Visit,,
https://www.coffeereview.com/review/kenya-gondo-peaberry/,96,Speedwell Coffee,Kenya Gondo Peaberry,"Plymouth, Massachusetts","Kihoya, Mathioya District, Murang’a County, Kenya",Medium-Light,58/80,$19.00/12 ounces,May 2025,9,9,9,10,9,"High-toned, sweetly savory. Pluot, cocoa nib, plumeria, candycap mushroom, wild honey in aroma and cup. Sparkling acidity; plush, satiny mouthfeel. Harmonious, integrated, satiating finish.","Produced by 727 smallholding farmers and processed at the Gondo Washing Station by the washed method (fruit, skin and pulp removed before drying). Speedwell Coffee, based in Plymouth, Massachusetts, is a wholesale and retail specialty roaster particularly dedicated to offering attractive coffee subscription plans. For more information, visit",,
